1;admin;8C6976E5B5410415BDE908BD4DEE15DFB167A9C873FC4BB8A81F6F2AB448A918;Jan;Kowalski;admin@wp.pl;1;
2;worker;87EBA76E7F3164534045BA922E7770FB58BBD14AD732BBF5BA6F11CC56989E6E;Jan;Pracowity;jan.pracowity@wp.pl;2;
3;klient;CBFDA0B7BA2C5C1383702BCFAF0EC82EE4CEE2FBD69BDA593C75E8E953940FCF;jan;kliencki;jan.kliencki@wp.pl;3;
4;agent;D4F0BC5A29DE06B510F9AA428F1EEDBA926012B591FEF7A518E776A7C9BD1824;jan;agent;jan.agent@wp.pl;2;
5;marcin.ruszczyk;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;Marcin;Ruszczyk;marcin.ruszczyk@wp.pl;1;
6;marcin.ruszczyk;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;Marcin;Ruszczyk;marcin.ruszczyk@wp.pl;3;
7;marcin.ruszczyk;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;David;Ruszczyk;marcin.ruszczyk@wp.pl;3;
8;login;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;mirosłąw;kowal;mirosław.kowal@wp.pl;3;
9;marcin.ruszczyk;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;David;Ruszczyk;marcin.ruszczyk@wp.pl;2;
10;jankowal;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;David778;Ruszczyk;marcin.ruszczyk@wp.pl;1;
11;agata.ruszczyk;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;Agata;Ruszczyk;agata@wp.pl;1;
12;jankowal;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;mirosłąw;Ruszczyk;marcin.ruszczyk@wp.pl;2;
13;maria.kowal;E3C33E889E0E1B62CB7F65C63B60C42BD77275D0E730432FC37B7E624B09AD1F;Maria;Kowal;maria.gowal.wp.pl;2;
14;jan;5E884898DA28047151D0E56F8DC6292773603D0D6AABBDD62A11EF721D1542D8;Jan;Userski;jan.userski@wp.pl;1;
15;jankowal;7F1F073D8BB9B2E3AD6C885019660D1B51B389F8E9169EBD15586467F8BC87E6;David;Kowal;jan.kowal@wp.pl;3;
16;login;D74FF0EE8DA3B9806B18C877DBF29BBDE50B5BD8E4DAD7A3A725000FEB82E8F1;Marcin;Ruszczyk;marcin.ruszczyk@wp.pl;2;
17;jan.michalski;A6611586D937289954CCD2467EA64ACDDA3FCDD8BAC5BC81C453E1E2D95A2D4D;Jan;Michalski;jan.michalski@wp.pl;1;
